year,Name,Race,Sex,Age,Ethnicity,Years of Service,lethal
2021,Reymart Relos,H,M,30,U,4 months,N
2021,Jonathan Haywood,B,M,45,U,7,N
2021,Michael Crowe,W,M,28,U,3,N
2021,Michael Conner,W,M,37,U,9,N
2021,Galen Hinshaw,W,M,32,U,6,n
2021,Chase Barnett,W,M,27,U,5,N
2021,Bianca Chambers,B,F,37,U,6,n
2021,Shane Denton,W,M,27,U,3,n
2021,Timothy Huber,W,M,39,U,3,n
2021,Benjamin Martin,W,M,25,U,2,n
2021,Tyler Story,W,M,23,U,1,n
2021,Jacob Kerger,W,M,33,U,3,N
2021,Josh Arnwine,B,M,27,U,5,n
2021,Brenton Woodford,B,M,27,U,5,Y
2021,Chase Barrett,PI,M,29,U,1,y
2021,Tucker Raifsnider,W,M,51,U,11,N
2021,Katie Gausepohl,W,F,34,U,4,n
2021,Joseph Vidourek,W,M,37,U,11,N
2021,Brandon Linton,W,M,27,U,3,N
2021,Jackson Evans,W,M,29,U,2,n
2021,Nathaniel Richardson,W,M,28,U,3,N
2021,Carina Ansaldo,H,F,27,U,2,n
2021,Antoine Frye,B,M,51,U,15,N
2020,Jon Mattingly,W,M,47,U,19,Y
2020,Brett Hankison,W,M,44,U,17,Y
2020,Myles Cosgrove,W,M,42,U,14,Y
2020,Nathaniel Lovewell,W,M,31,U,6,Y
2020,Joseph Borst,W,M,26,U,1,Y
2020,Rebecca Davis,W,F,28,U,1,Y
2020,Brian Evanoff,W,M,40,U,9,N
2020,Chad Stewart,W,M,41,U,11,N
2020,Michael Woodard,W,M,47,U,17,N
2020,Michael Johnson,W,M,41,U,11,Y
2020,Joseph Tapp,W,M,48,U,12,N
2020,Patrick Dahlgren,W,M,39,U,2,N
2020,Trevor Troutman,W,M,25,U,2,N
2020,Austin Allen,W,M,26,U,4,Y
2020,Katie Crews,W,F,27,U,2,Y
2020,National Guardsman 1,W,M,24,U,N/A,Y
2020,National Guardsman 2,W,M,31,U,N/A,Y
2020,Patrick Norton,W,M,30,U,4,N
2020,Aubrey Gregory,W,M,45,U,21,N
2020,Robinson Desroches,B,M,23,U,1,N
2020,Harry Seeders,W,M,30,U,2,Y
2020,Shane Denton,W,M,27,U,3,N
2020,Timothy Huber,W,M,38,U,2,N
2019,Scott Christman,W,M,29,U,1,N
2019,Jada Grady,B,F,24,U,1,N
2019,Tyler Holland,W,M,31,U,8yrs. 4m,N
2019,Anthony Garcia,W,M,33,,3,N
2019,William Mattingly,W,M,56,U,20+,Y
2019,Michael Purcell,W,M,53,,11,Y
2019,John Moore,W,M,26,U,2,N
2019,Bryan Arnold,W,M,45,U,20+,Y
2019,Kenneth Drury,W,M,47,U,12,N
2019,Jerry Codey,W,M,54,U,20+,N
2019,Noah Straman,W,M,24,U,2 years,N
2019,Kelly Hanna,W,F,32,U,4 years,N
2019,Elzy,B,M,26,,2 years,Y
2019,Alexander,W,M,36,,,
2019,Multiple Officers,W,M,Varies,,Varies,N
2019,Robert Ross,B,M,27,U,2 years,N
2019,Alex Dugan/Patrick Norton,W,M,24/29,U,2/3 years,Y
2019,Jason Maguire,W,M,41,U,3years,N
2018,Christina Gaddis,W,F,30,None,3,N
2018,Darrell Hyche,W,M,51,None,11,Y
2018,Brad Woolridge,W,M,39,None,16,Y
2018,Aaron Browning,W,M,30,None,9,N
2018,Ian Stuart,W,M,23,None,2,N
2018,Erik Goldschmidt,W,M,26,None,3,N
2018,Matthew Aden,W,M,24,None,3,Y
2018,Devin Dawes,W,M,27,None,2,Y
2018,Joshua Weyer,W,M,27,None,3,Y
2018,Benjamin Dean,W,M,35,None,3,Y
2018,Kody Despain,W,M,24,None,3,Y
2018,Joseph Fox,W,M,26,None,4,Y
2018,Brendan Kaiser,W,M,23,None,1,Y
2018,Brandon Hogan,W,M,32,None,10,Y
2018,William Mattingly,W,M,55,None,20+,Y
2018,Dallas Constant,W,M,23,None,Under 1 year,Y